method,scenario,trial,run_id,execution_mode,environment,timestamp_s,x_robot,y_robot,yaw_robot,x_reference,y_reference,yaw_reference,reference_index,cross_track_error,heading_error,linear_velocity_command,angular_velocity_command,distance_to_goal,saturated_v,saturated_omega
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402232.912719,0.879056,0.008187,0.019028,0.999000,0.020000,0.000000,20,0.000000,0.019028,0.000000,0.000000,0.120524,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402232.962575,0.879056,0.008187,0.019026,0.999000,0.020000,0.000000,20,0.000000,0.019026,0.000000,0.000000,0.120524,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402233.012638,0.879056,0.008187,0.019032,0.999000,0.020000,0.000000,20,0.000000,0.019032,0.000000,0.000000,0.120524,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402233.062590,0.879057,0.008187,0.019028,0.999000,0.020000,0.000000,20,0.000000,0.019028,0.000000,0.000000,0.120524,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402233.112742,0.879057,0.008187,0.019026,0.999000,0.020000,0.000000,20,0.000000,0.019026,0.000000,0.000000,0.120524,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402233.162490,0.879057,0.008187,0.019026,0.999000,0.020000,0.000000,20,0.000000,0.019026,0.000000,0.000000,0.120524,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402233.212451,0.879057,0.008187,0.019024,0.999000,0.020000,0.000000,20,0.000000,0.019024,0.000000,0.000000,0.120524,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402233.262882,0.879057,0.008187,0.019023,0.999000,0.020000,0.000000,20,0.000000,0.019023,0.000000,0.000000,0.120524,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402233.312432,0.879057,0.008187,0.019016,0.999000,0.020000,0.000000,20,0.000000,0.019016,0.000000,0.000000,0.120524,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402233.362555,0.879057,0.008187,0.019014,0.999000,0.020000,0.000000,20,0.000000,0.019014,0.000000,0.000000,0.120524,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402233.412368,0.879057,0.008187,0.019004,0.999000,0.020000,0.000000,20,0.000000,0.019004,0.000000,0.000000,0.120524,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402233.462599,0.879057,0.008187,0.019002,0.999000,0.020000,0.000000,20,0.000000,0.019002,0.000000,0.000000,0.120524,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402233.512593,0.879057,0.008187,0.019012,0.999000,0.020000,0.000000,20,0.000000,0.019012,0.000000,0.000000,0.120524,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402233.562494,0.879057,0.008187,0.019012,0.999000,0.020000,0.000000,20,0.000000,0.019012,0.000000,0.000000,0.120524,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402233.612687,0.879057,0.008187,0.019011,0.999000,0.020000,0.000000,20,0.000000,0.019011,0.000000,0.000000,0.120524,0,0
lqr_pt_2602_hotel,gazebo_map2_straight_tracking,1,1,ros_live,gazebo,1788402233.662550,0.879057,0.008187,0.019010,0.999000,0.020000,0.000000,20,0.000000,0.019010,0.000000,0.000000,0.120524,0,0
